name,annotations,codepoints,emoji,synonyms
grinning face,"face, grin",[128512],😀,"face, person, smile, happy, content"
grinning face with smiling eyes,"eye, face, grin, smile",[128513],😁,"eye, face, grin, smile, grinning"
face with tears of joy,"face, joy, laugh, tear",[128514],😂,"joy, happy, laughing, tears of joy, crying of joy, cry of joy"
rolling on the floor laughing,"face, floor, laugh, rolling",[129315],🤣,"rolling on the floor laughing, rofl"
smiling face with open mouth,"face, mouth, open, smile",[128515],😃,"smile, happy"
smiling face with open mouth & smiling eyes,"eye, face, mouth, open, smile",[128516],😄,"smile, happy"
smiling face with open mouth & cold sweat,"cold, face, open, smile, sweat",[128517],😅,"cold sweat, sweat, embarrased"
smiling face with open mouth & closed eyes,"face, laugh, mouth, open, satisfied, smile",[128518],😆,"laugh, smile, fun, laughing"
winking face,"face, wink",[128521],😉,"wink, joke, winking, winked"
smiling face with smiling eyes,"blush, eye, face, smile",[128522],😊,"blush, blushing, blushed, smile"
face savouring delicious food,"delicious, face, savouring, smile, um, yum",[128523],😋,"yum, yummy, delicious, savour, savouring, eating, eat, ate"
smiling face with sunglasses,"bright, cool, eye, eyewear, face, glasses, smile, sun, sunglasses",[128526],😎,"cool, hip, sunglasses, shades, glasses, sunny"
smiling face with heart-eyes,"eye, face, love, smile",[128525],😍,"love, loving, loved"
face blowing a kiss,"face, kiss",[128536],😘,"kiss, kisses, kissing, kissed"
kissing face,"face, kiss",[128535],😗,"kiss, kisses, kissing, kissed"
kissing face with smiling eyes,"eye, face, kiss, smile",[128537],😙,"kiss, kisses, kissing, kissed"
kissing face with closed eyes,"closed, eye, face, kiss",[128538],😚,"kiss, kisses, kissing, kissed"
smiling face,"face, outlined, relaxed, smile",[9786],☺,smile
slightly smiling face,"face, smile",[128578],🙂,smile
hugging face,"face, hug, hugging",[129303],🤗,smile
thinking face,"face, thinking",[129300],🤔,smile
neutral face,"deadpan, face, neutral",[128528],😐,"deadpan, neutral, meh"
expressionless face,"expressionless, face, inexpressive, unexpressive",[128529],😑,"inexpressive, neutral, meh, deadpan"
face without mouth,"face, mouth, quiet, silent",[128566],😶,"quiet, silent, silenced"
face with rolling eyes,"eyes, face, rolling",[128580],🙄,eyeroll
smirking face,"face, smirk",[128527],😏,"smirk, smirking, smirked"
persevering face,"face, persevere",[128547],😣,"persevere, perseverance, grit, persist, persisting"
disappointed but relieved face,"disappointed, face, relieved, whew",[128549],😥,"disappointed, whew, relieved, phew, relief"
face with open mouth,"face, mouth, open, sympathy",[128558],😮,"sympathy, sympathetic, compassion, compassionate"
zipper-mouth face,"face, mouth, zipper",[129296],🤐,"silent, quiet, silenced"
hushed face,"face, hushed, stunned, surprised",[128559],😯,"hushed, stunned, suprised"
sleepy face,"face, sleep",[128554],😪,"sleep, sleepy, asleep"
tired face,"face, tired",[128555],😫,"tired, exhausted, fatigue, fatigued"
sleeping face,"face, sleep, zzz",[128564],😴,"sleep, sleepy, asleep"
relieved face,"face, relieved",[128524],😌,"relieved, relief"
nerd face,"face, geek, nerd",[129299],🤓,"geek, nerd"
face with stuck-out tongue,"face, tongue",[128539],😛,"tongue, joke"
face with stuck-out tongue & winking eye,"eye, face, joke, tongue, wink",[128540],😜,"joke, wink, tongue"
face with stuck-out tongue & closed eyes,"eye, face, horrible, taste, tongue",[128541],😝,"eww, disgusting"
drooling face,"drooling, face",[129316],🤤,"drool, drooling"
unamused face,"face, unamused, unhappy",[128530],😒,"unhappy, unamused"
face with cold sweat,"cold, face, sweat",[128531],😓,"cold sweat, sweat, embarrased"
pensive face,"dejected, face, pensive",[128532],😔,"pensive, pondering, dejected"
confused face,"confused, face",[128533],😕,confused
upside-down face,"face, upside-down",[128579],🙃,"upside-down, confused, crazy, zany, wrong"
money-mouth face,"face, money, mouth",[129297],🤑,money
astonished face,"astonished, face, shocked, totally",[128562],😲,"astonished, totally, amazed, shocked"
frowning face,"face, frown",[9785],☹,"frown, frowny"
slightly frowning face,"face, frown",[128577],🙁,"frown, frowny"
confounded face,"confounded, face",[128534],😖,"confounded, confused, wat"
disappointed face,"disappointed, face",[128542],😞,"disappointed, disappointment"
worried face,"face, worried",[128543],😟,"worried, worry, worrisome"
face with steam from nose,"face, triumph, won",[128548],😤,"victory, triumph, won, winning"
crying face,"cry, face, sad, tear",[128546],😢,"sad, crying, tear, tears, unhappy"
loudly crying face,"cry, face, sad, sob, tear",[128557],😭,"sad, sob, tears, sobbing, crying, unhappy"
frowning face with open mouth,"face, frown, mouth, open",[128550],😦,"frown, unhappy, sad, frowning"
anguished face,"anguished, face",[128551],😧,"anguished, anguish"
fearful face,"face, fear, fearful, scared",[128552],😨,"fear, afraid, scared, scary, fearful"
weary face,"face, tired, weary",[128553],😩,"tired, exhausted, fatigue, fatigued, weary"
grimacing face,"face, grimace",[128556],😬,"grimace, grimacing, grimaced"
face with open mouth & cold sweat,"blue, cold, face, mouth, open, rushed, sweat",[128560],😰,"cold, sweat, stressed, stressing, stressful"
face screaming in fear,"face, fear, fearful, munch, scared, scream",[128561],😱,"scream, screaming, fear, afraid, much, scared, scary"
flushed face,"dazed, face, flushed",[128563],😳,"flushed, embarrased, red-faced, dazed"
