name,annotations,codepoints
grinning face,"face, grin",[128512]
grinning face with smiling eyes,"eye, face, grin, smile",[128513]
face with tears of joy,"face, joy, laugh, tear",[128514]
rolling on the floor laughing,"face, floor, laugh, rolling",[129315]
smiling face with open mouth,"face, mouth, open, smile",[128515]
smiling face with open mouth & smiling eyes,"eye, face, mouth, open, smile",[128516]
smiling face with open mouth & cold sweat,"cold, face, open, smile, sweat",[128517]
smiling face with open mouth & closed eyes,"face, laugh, mouth, open, satisfied, smile",[128518]
winking face,"face, wink",[128521]
smiling face with smiling eyes,"blush, eye, face, smile",[128522]
face savouring delicious food,"delicious, face, savouring, smile, um, yum",[128523]
smiling face with sunglasses,"bright, cool, eye, eyewear, face, glasses, smile, sun, sunglasses",[128526]
smiling face with heart-eyes,"eye, face, love, smile",[128525]
face blowing a kiss,"face, kiss",[128536]
kissing face,"face, kiss",[128535]
kissing face with smiling eyes,"eye, face, kiss, smile",[128537]
kissing face with closed eyes,"closed, eye, face, kiss",[128538]
smiling face,"face, outlined, relaxed, smile",[9786]
slightly smiling face,"face, smile",[128578]
hugging face,"face, hug, hugging",[129303]
thinking face,"face, thinking",[129300]
neutral face,"deadpan, face, neutral",[128528]
expressionless face,"expressionless, face, inexpressive, unexpressive",[128529]
face without mouth,"face, mouth, quiet, silent",[128566]
face with rolling eyes,"eyes, face, rolling",[128580]
smirking face,"face, smirk",[128527]
persevering face,"face, persevere",[128547]
disappointed but relieved face,"disappointed, face, relieved, whew",[128549]
face with open mouth,"face, mouth, open, sympathy",[128558]
zipper-mouth face,"face, mouth, zipper",[129296]
hushed face,"face, hushed, stunned, surprised",[128559]
sleepy face,"face, sleep",[128554]
tired face,"face, tired",[128555]
sleeping face,"face, sleep, zzz",[128564]
relieved face,"face, relieved",[128524]
nerd face,"face, geek, nerd",[129299]
face with stuck-out tongue,"face, tongue",[128539]
face with stuck-out tongue & winking eye,"eye, face, joke, tongue, wink",[128540]
face with stuck-out tongue & closed eyes,"eye, face, horrible, taste, tongue",[128541]
drooling face,"drooling, face",[129316]
unamused face,"face, unamused, unhappy",[128530]
face with cold sweat,"cold, face, sweat",[128531]
pensive face,"dejected, face, pensive",[128532]
confused face,"confused, face",[128533]
upside-down face,"face, upside-down",[128579]
money-mouth face,"face, money, mouth",[129297]
astonished face,"astonished, face, shocked, totally",[128562]
frowning face,"face, frown",[9785]
slightly frowning face,"face, frown",[128577]
confounded face,"confounded, face",[128534]
disappointed face,"disappointed, face",[128542]
worried face,"face, worried",[128543]
face with steam from nose,"face, triumph, won",[128548]
crying face,"cry, face, sad, tear",[128546]
loudly crying face,"cry, face, sad, sob, tear",[128557]
frowning face with open mouth,"face, frown, mouth, open",[128550]
anguished face,"anguished, face",[128551]
fearful face,"face, fear, fearful, scared",[128552]
weary face,"face, tired, weary",[128553]
grimacing face,"face, grimace",[128556]
face with open mouth & cold sweat,"blue, cold, face, mouth, open, rushed, sweat",[128560]
face screaming in fear,"face, fear, fearful, munch, scared, scream",[128561]
flushed face,"dazed, face, flushed",[128563]
dizzy face,"dizzy, face",[128565]
pouting face,"angry, face, mad, pouting, rage, red",[128545]
angry face,"angry, face, mad",[128544]
smiling face with halo,"angel, face, fairy tale, fantasy, halo, innocent, smile",[128519]
cowboy hat face,"cowboy, cowgirl, face, hat",[129312]
clown face,"clown, face",[129313]
lying face,"face, lie, pinocchio",[129317]
face with medical mask,"cold, doctor, face, mask, medicine, sick",[128567]
face with thermometer,"face, ill, sick, thermometer",[129298]
face with head-bandage,"bandage, face, hurt, injury",[129301]
nauseated face,"face, nauseated, vomit",[129314]
sneezing face,"face, gesundheit, sneeze",[129319]
smiling face with horns,"face, fairy tale, fantasy, horns, smile",[128520]
angry face with horns,"demon, devil, face, fairy tale, fantasy, imp",[128127]
ogre,"creature, face, fairy tale, fantasy, japanese, monster",[128121]
goblin,"creature, face, fairy tale, fantasy, japanese, monster",[128122]
skull,"death, face, fairy tale, monster",[128128]
skull and crossbones,"crossbones, death, face, monster, skull",[9760]
ghost,"creature, face, fairy tale, fantasy, monster",[128123]
alien,"creature, extraterrestrial, face, fairy tale, fantasy, monster, ufo",[128125]
alien monster,"alien, creature, extraterrestrial, face, fairy tale, fantasy, monster, ufo",[128126]
robot face,"face, monster, robot",[129302]
pile of poo,"comic, dung, face, monster, poo, poop",[128169]
smiling cat face with open mouth,"cat, face, mouth, open, smile",[128570]
grinning cat face with smiling eyes,"cat, eye, face, grin, smile",[128568]
cat face with tears of joy,"cat, face, joy, tear",[128569]
smiling cat face with heart-eyes,"cat, eye, face, love, smile",[128571]
cat face with wry smile,"cat, face, ironic, smile, wry",[128572]
kissing cat face with closed eyes,"cat, eye, face, kiss",[128573]
weary cat face,"cat, face, oh, surprised, weary",[128576]
crying cat face,"cat, cry, face, sad, tear",[128575]
pouting cat face,"cat, face, pouting",[128574]
see-no-evil monkey,"evil, face, forbidden, gesture, monkey, no, not, prohibited, see",[128584]
hear-no-evil monkey,"evil, face, forbidden, gesture, hear, monkey, no, not, prohibited",[128585]
speak-no-evil monkey,"evil, face, forbidden, gesture, monkey, no, not, prohibited, speak",[128586]
boy,"boy, young",[128102]
